Trajectory Length Statistics (Sorted by Length Descending)
=======================================================

Dataset: fractal20220817_data
Total Trajectories: 82851
Min: 2, Max: 650, Mean: 43.43
-----------------------------------
Length     | Count     
-----------------------------------
650        | 1         
527        | 1         
509        | 1         
484        | 1         
434        | 1         
397        | 1         
393        | 1         
360        | 1         
358        | 1         
341        | 2         
334        | 1         
329        | 1         
328        | 1         
327        | 1         
317        | 1         
316        | 2         
311        | 2         
304        | 1         
294        | 1         
290        | 1         
289        | 1         
288        | 1         
283        | 1         
278        | 1         
275        | 1         
270        | 1         
269        | 1         
267        | 2         
263        | 1         
261        | 1         
253        | 1         
251        | 2         
248        | 1         
247        | 1         
246        | 1         
244        | 1         
243        | 1         
242        | 1         
240        | 1         
239        | 2         
238        | 1         
235        | 1         
234        | 1         
228        | 1         
225        | 1         
224        | 3         
219        | 2         
218        | 2         
213        | 1         
211        | 1         
210        | 4         
206        | 2         
203        | 1         
202        | 2         
201        | 5         
200        | 1         
199        | 3         
198        | 2         
197        | 3         
195        | 1         
194        | 3         
193        | 2         
191        | 2         
190        | 3         
189        | 3         
188        | 2         
187        | 2         
185        | 1         
184        | 2         
182        | 1         
181        | 3         
180        | 2         
179        | 3         
178        | 3         
177        | 3         
176        | 6         
175        | 3         
174        | 2         
173        | 3         
172        | 3         
171        | 5         
170        | 5         
169        | 3         
168        | 3         
167        | 4         
166        | 4         
165        | 1         
164        | 4         
163        | 5         
162        | 3         
161        | 7         
160        | 5         
159        | 3         
158        | 3         
157        | 7         
156        | 5         
155        | 5         
154        | 4         
153        | 3         
152        | 5         
151        | 6         
150        | 7         
149        | 9         
148        | 5         
147        | 4         
146        | 8         
145        | 11        
144        | 10        
143        | 9         
142        | 6         
141        | 17        
140        | 11        
139        | 4         
138        | 13        
137        | 10        
136        | 5         
135        | 7         
134        | 15        
133        | 20        
132        | 12        
131        | 9         
130        | 13        
129        | 11        
128        | 15        
127        | 21        
126        | 20        
125        | 16        
124        | 19        
123        | 21        
122        | 28        
121        | 22        
120        | 12        
119        | 23        
118        | 25        
117        | 28        
116        | 28        
115        | 19        
114        | 26        
113        | 33        
112        | 32        
111        | 31        
110        | 36        
109        | 34        
108        | 41        
107        | 42        
106        | 36        
105        | 34        
104        | 45        
103        | 57        
102        | 55        
101        | 44        
100        | 54        
99         | 75        
98         | 64        
97         | 81        
96         | 87        
95         | 83        
94         | 71        
93         | 86        
92         | 99        
91         | 105       
90         | 113       
89         | 121       
88         | 132       
87         | 136       
86         | 133       
85         | 176       
84         | 150       
83         | 196       
82         | 209       
81         | 238       
80         | 220       
79         | 248       
78         | 272       
77         | 285       
76         | 320       
75         | 336       
74         | 373       
73         | 364       
72         | 391       
71         | 444       
70         | 447       
69         | 496       
68         | 541       
67         | 570       
66         | 639       
65         | 657       
64         | 670       
63         | 716       
62         | 761       
61         | 823       
60         | 843       
59         | 881       
58         | 895       
57         | 970       
56         | 1028      
55         | 1049      
54         | 1140      
53         | 1229      
52         | 1229      
51         | 1311      
50         | 1353      
49         | 1357      
48         | 1435      
47         | 1583      
46         | 1589      
45         | 1639      
44         | 1727      
43         | 1763      
42         | 1840      
41         | 1867      
40         | 1993      
39         | 1962      
38         | 1961      
37         | 2112      
36         | 2147      
35         | 2060      
34         | 1975      
33         | 2084      
32         | 1997      
31         | 2016      
30         | 1974      
29         | 1940      
28         | 1901      
27         | 1791      
26         | 1833      
25         | 1765      
24         | 1608      
23         | 1468      
22         | 1370      
21         | 1173      
20         | 1050      
19         | 885       
18         | 841       
17         | 716       
16         | 601       
15         | 467       
14         | 308       
13         | 161       
12         | 82        
11         | 32        
10         | 14        
9          | 17        
8          | 31        
7          | 20        
6          | 22        
5          | 19        
4          | 25        
3          | 10        
2          | 425       

==================================================

